gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.9,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.587896758554967,0.0,-9.908259620915581,0.2108012368022995,1.587896758554967,443.21519112586986,703.779965331089,-58.78967585549672,0.07373042676957929
0.95,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,1.5670727597176306,1.0416666666666665,-12.17040568327771,0.31993139652564734,1.5879060930509639,443.21519112586986,694.550452706394,-56.707275971763075,0.07374061178026174
0.9,0.001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.588332937997859,0.0,-10.432909935732807,0.1984803215209477,1.588332937997859,443.21519112586986,703.9732866862355,-58.8332937997859,0.07420634879973807
0.9,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.5884255438188042,0.0,-10.028977154611827,0.23006038110644145,1.5884255438188042,443.21519112586986,704.0143309928651,-58.84255438188042,0.07430739242072243
0.9,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.590158244478991,0.0,-10.10712892300978,0.2016821679717421,1.590158244478991,443.21519112586986,704.7822902471337,-59.0158244478991,0.07619796848819148
0.95,0.0001,0.2,0.01,0.95,0.5,0.5,10,256,256,1.5909901931114272,0.0,-11.939716298542654,0.18972802924919632,1.5909901931114272,443.21519112586986,705.1510225192658,-59.09901931114271,0.07710572030591047
0.9,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,1.591520052444259,0.0,-10.302606024334846,0.19539167709243913,1.591520052444259,443.21519112586986,705.3858642247367,-59.1520052444259,0.07768385789008433
0.95,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.5919253053738975,0.0,-10.191172565234947,0.19571275002124294,1.5919253053738975,443.21519112586986,705.5654784794008,-59.192530537389764,0.07812603553083376
0.95,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.5922877526451595,0.0,-12.290449656866286,0.18905175467011054,1.5922877526451595,443.21519112586986,705.7261206160061,-59.228775264515946,0.07852150726609212
0.95,0.0003,0.3,0.01,0.95,0.5,0.5,10,256,256,1.5925880268901524,0.0,-9.87978564140835,0.19784475739487745,1.5925880268901524,443.21519112586986,705.8592067228909,-59.258802689015255,0.0788491410659198
0.95,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.5930303871303784,0.0,-10.804667933183286,0.21179959466855822,1.5930303871303784,443.21519112586986,706.0552675013091,-59.303038713037836,0.07933180705814076
0.9,0.0001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.5726573121737473,1.0416666666666665,-11.908922196196334,0.30448669919142896,1.5934906455070805,443.21519112586986,697.0256111905842,-57.26573121737473,0.07983400197953673
0.9,0.0001,0.2,0.01,0.95,0.5,0.5,10,256,256,1.5941862149145964,0.0,-10.292904576489963,0.19162878805144998,1.5941862149145964,443.21519112586986,706.5675479335999,-59.41862149145965,0.0805929483488256
0.95,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,1.5943344946685527,0.0,-10.021480426767038,0.21324340129294195,1.5943344946685527,443.21519112586986,706.6332677730898,-59.43344946685527,0.08075473864565026
0.95,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,1.5948144420715453,0.0,-9.855123303525156,0.19523217719264657,1.5948144420715453,443.21519112586986,706.8459877530374,-59.481444207154524,0.08127841656336049
0.9,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.5950302049419989,0.0,-9.778055293683897,0.19205008046704675,1.5950302049419989,443.21519112586986,706.9416171349034,-59.50302049419987,0.08151383871590005
0.9,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.574220153841787,1.0416666666666665,-10.222426059750543,0.3033922711681246,1.5950534871751203,443.21519112586986,697.7182863591839,-57.422015384178714,0.08153924231488746
0.9,0.0003,0.3,0.01,0.95,0.5,0.5,10,256,256,1.596033738213779,0.0,-10.07298395522048,0.19438217348493483,1.596033738213779,443.21519112586986,707.3863983257567,-59.603373821377915,0.08260880914566368
0.9,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.5962442839643922,0.0,-10.138213170208207,0.19704164557203516,1.5962442839643922,443.21519112586986,707.4797154008554,-59.624428396439235,0.0828385388193245
0.99,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,1.5549937411077646,2.083333333333333,-13.473042541434413,0.4020824545081337,1.5966604077744313,443.21519112586986,689.1968481646093,-55.49937411077646,0.08329257784316783
