Day,Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
Tuesday,2021-11-09 16:45:00,59.95,149.26731872559,127.138671875,201.20315551758,216.5856628418,216.15046691895,214.79927062988,58.539665222168,59.50267791748,79869201.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 17:00:00,59.9354,156.9105682373,127.03072357178,201.34313964844,218.09419250488,217.71087646484,216.31568908691,60.029201507568,60.898498535156,79883639.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 17:15:00,60.0255,142.93203735352,76.058586120605,172.20407104492,218.12992858887,218.1522064209,216.78385925293,47.629100799561,49.210712432861,79898182.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 17:30:00,60.0112,143.82678222656,102.80677032471,181.19738769531,219.345703125,218.93586730957,217.70211791992,52.890602111816,54.022602081299006,79911754.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 17:45:00,60.0594,99.744476318359,80.652282714844,147.76719665527,220.54981994629,219.9208984375,218.6141204834,40.530204772949,41.602874755859,79924012.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 18:00:00,59.9784,16.695871353149,54.132720947266,54.987724304199,220.6940612793,219.38087463379,218.53108215332,15.501273155212,15.880896568298,79929740.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 18:15:00,59.9904,18.598386764526,29.297046661377,26.989803314209,220.4315032959,219.17555236816,218.32743835449,9.1342267990112,9.4663038253784,79932458.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 18:30:00,60.0161,18.581062316895,29.62308883667,28.203765869141,221.17253112793,219.87712097168,219.13383483887,9.4619274139404,9.690170288085898,79934829.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 18:45:00,60.0093,18.086580276489,32.665313720703,28.630735397339,221.46838378906,220.31930541992,219.18180847168,9.7795457839966,10.07788848877,79937253.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 19:00:00,60.0267,18.544193267822,32.528972625732,28.316585540771,222.35821533203,220.86587524414,220.16253662109,9.9244575500488,10.115019798279,79939692.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 19:15:00,59.995,18.073665618896,32.073329925537,28.836126327515,222.61671447754,221.37094116211,220.60354614258,9.7926874160767,10.080855369568,79942078.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 19:30:00,60.0032,18.108823776245,33.789867401123,28.384742736816,222.97790527344,221.62001037598,220.99989318848,9.9263944625854,10.261138916016,79944551.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 19:45:00,59.9892,19.42214012146,30.932193756104,28.68579864502,223.06190490723,221.66952514648,220.94882202148,9.8520555496216,10.108017921448,79947091.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 20:00:00,59.9819,18.765171051025,33.319087982178,28.542297363281,223.5440826416,222.1743927002,221.51466369629,10.024509429932,10.332236289978,79949590.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 20:15:00,59.9916,19.176000595093,30.945722579956,27.61351776123,223.28126525879,221.59260559082,221.21003723145,9.7048721313477,9.946228981018098,79952064.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 20:30:00,59.99,18.708450317383,30.639804840088,27.979639053345,223.88545227051,222.34605407715,221.74700927734,9.6725597381592,9.9219827651978,79954565.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 20:45:00,60.0439,18.698120117188,36.206527709961,29.136112213135,223.90519714355,222.35610961914,221.70692443848,10.523949623108,10.77921295166,79957101.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 21:00:00,59.9336,19.164661407471,33.503196716309,28.746921539307,224.67140197754,223.08480834961,222.69355773926,10.219291687012,10.482982635498,79959612.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 21:15:00,59.9723,18.071437835693,32.689708709717,27.503377914429,223.43746948242,222.09173583984,221.33145141602,9.7128419876099,10.02409362793,79962231.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 21:30:00,60.0311,18.158994674683,36.813846588135,27.961502075195,224.49250793457,222.91744995117,222.48617553711,10.374912261963,10.666255950928,79964693.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 21:45:00,60.025,18.637308120728,30.950664520264,28.791698455811,224.8173828125,223.27731323242,222.83811950684,9.8820896148682,10.100267410278,79967175.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 22:00:00,60.0254,18.162097930908,32.831020355225,27.475551605225,224.96038818359,223.69264221191,223.22929382324,9.7963075637817,10.124736785889,79969641.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 22:15:00,60.0525,18.564155578613,34.960258483887,28.804281234741,223.97436523438,222.53269958496,222.23260498047,10.230504989624,10.571125984192,79972086.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 22:30:00,59.986,18.080791473389,30.373247146606,28.245412826538,223.03553771973,221.62844848633,221.15751647949,9.5623092651367,9.8083086013794,79974621.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 22:45:00,60.0076,18.831560134888,46.776290893555,37.580509185791,224.3367767334,222.74957275391,222.26818847656,12.925852775574,13.25022983551,79977115.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 23:00:00,60.0054,19.243061065674,29.658128738403,27.506011962891,224.1650390625,223.14323425293,222.46440124512,9.6133699417114,9.833324432373,79979687.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 23:15:00,60.0105,18.749719619751,32.696357727051,27.917125701904,224.8687286377,223.85620117188,223.24328613281,9.9448328018188,10.243493080139,79982143.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 23:30:00,59.9197,29.042284011841,40.495738983154,27.45796585083,224.37399291992,223.28785705566,223.09977722168,12.049925804138,12.510896682739,79985015.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-09 23:45:00,59.9916,18.143026351929,31.106615066528,28.871564865112,224.11181640625,222.83158874512,222.59335327148,9.7731637954712,10.044533729553,79987598.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 00:00:00,59.9631,10.151681900024,29.82110786438,17.432392120361,227.32467651367,225.8500213623,225.57916259766,7.134415149688699,7.4736971855164,82552819.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 00:15:00,59.9658,10.098404884338,31.158851623535,17.115446090698,226.06428527832,224.78979492188,224.47923278809,7.1767020225525,7.5607967376709,82554788.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 00:30:00,60.0173,10.365160942078,32.722202301025,18.207258224487,227.12680053711,226.0272064209,225.00198364258,7.6298604011536,7.9766750335692995,82556639.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 00:45:00,59.9705,10.048050880432,29.431671142578,17.774959564209,225.92359924316,224.4390411377,224.04945373535,7.087019443512,7.407362461090099,82558454.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 01:00:00,60.0345,10.089631080627,34.242652893066,17.686408996582,226.08265686035,224.93603515625,223.88662719727,7.7459492683411,8.0320529937744,82560308.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 01:15:00,59.9798,10.326250076294,28.196628570557,18.243482589722,226.18515014648,225.00140380859,224.23382568359,7.1090536117554,7.3581137657166,82562170.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 01:30:00,60.0266,10.052856445312,30.573778152466,17.006435394287,227.14547729492,225.68766784668,225.29875183105,7.116879940033,7.4973554611206,82563985.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 01:45:00,60.0083,9.7263965606689,33.411987304688,17.624391555786,226.86468505859,225.30891418457,224.95379638672,7.4008359909058,7.8906354904175,82565954.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 02:00:00,59.9991,9.9643688201904,30.52423286438,17.018739700317,226.85255432129,225.51788330078,224.98048400879,7.0964360237122,7.4730772972107,82567760.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 02:15:00,60.0046,9.7048492431641,28.242561340332,16.989381790161,227.0691986084,225.73358154297,225.40162658691,6.7649102210999,7.1471757888794,82569541.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 02:30:00,60.0365,9.7239122390747,30.326290130615,18.147018432617,227.85577392578,226.52340698242,225.90902709961,7.2012267112732,7.5951652526855,82571364.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 02:45:00,60.0022,19.723659515381,41.349414825439,17.862615585327,227.31018066406,226.02993774414,225.90951538086,9.7592992782593,10.298972129822,82573279.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 03:00:00,59.9996,9.9279413223267,34.218425750732,17.434701919556,227.35467529297,226.04277038574,225.60871887207,7.563813209533699,8.0195226669312,82575549.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 03:15:00,60.0604,9.7172861099243,28.934242248535,17.003593444824,227.69616699219,226.11723327637,225.77429199219,6.8792676925659,7.2784237861633,82577369.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 03:30:00,60.036,10.218085289001,30.147087097168,16.997909545898,228.30764770508,226.83094787598,226.52769470215,7.1220569610596005,7.5014405250549,82579291.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 03:45:00,59.9596,9.9206409454346,33.013946533203,17.371318817139,227.82907104492,226.49583435059,226.08638000488,7.445725440979,7.8700766563416,82581076.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 04:00:00,59.9547,9.7131423950195,30.444204330444,17.633525848389,228.11921691895,226.59376525879,226.3120880127,7.1538691520691,7.5643720626831,82582900.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 04:15:00,59.9391,10.188889503479,30.756256103516,18.143026351929,227.16136169434,225.52394104004,225.20079040527,7.3505620956421,7.6836638450623,82584725.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 04:30:00,60.0096,10.154061317444,32.184345245361,17.009273529053,227.57566833496,226.21925354004,225.74671936035,7.413139343261699,7.7366523742676,82586530.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 04:45:00,59.9844,10.315327644348,29.406219482422,16.985116958618,227.2954864502,225.88270568848,225.44776916504,7.075279712677,7.3836541175842,82588318.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 05:00:00,59.9379,19.29320526123,38.533790588379,17.428234100342,226.51341247559,225.04951477051,224.9246673584,9.1605577468872,9.7810087203979,82590237.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 05:15:00,60.0698,10.069661140442,33.924938201904,16.969942092896,227.78758239746,226.18228149414,225.88871765137,7.5915341377258,7.9490480422974,82592060.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 05:30:00,60.0096,10.3394947052,28.886619567871,17.444856643677,227.41159057617,226.10691833496,225.41468811035,7.1033840179443,7.3839855194092,82593887.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 05:45:00,60.0429,7.7500133514404,30.588523864746,19.372747421265,227.71630859375,226.26239013672,225.81018066406,7.250440120696999,7.5198540687561,82595669.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 06:00:00,60.0017,7.7219123840332,27.350437164307,15.71821308136,228.3419342041,226.8295135498,226.61247253418,6.3348617553711,6.6384172439575,82597451.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 06:15:00,60.0099,7.7614326477051,32.81311416626,15.437046051025,227.98916625977,226.75410461426,226.58320617676,6.8128309249878,7.312649726867701,82599101.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 06:30:00,60.0109,7.7198271751404,40.390033721924,14.875549316406,227.66107177734,226.65335083008,226.03349304199,7.7626056671143,8.2119207382202,82600743.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 06:45:00,60.001,12.133011817932,32.825382232666,16.176630020142,227.52131652832,226.6086730957,226.10717773438,7.550003528595,7.9805946350098,82602856.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 07:00:00,60.0074,12.359176635742,39.320163726807,16.768051147461,226.00338745117,224.9143371582,224.14677429199,8.593025207519501,8.8665294647217,82604815.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 07:15:00,59.965,34.392097473145,61.704097747803,43.660346984863,225.61335754395,224.71176147461,223.87466430664,17.596687316895,18.104608535767003,82607976.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 07:30:00,60.0094,35.927490234375,89.211959838867,86.493118286133,224.92779541016,223.7119140625,222.92291259766,26.447895050049,27.266590118408,82614142.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 07:45:00,59.9687,40.834499359131,86.569320678711,89.174865722656,224.16564941406,222.99780273438,221.8352355957,27.049129486084,27.809953689575,82620602.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 08:00:00,60.013,42.589450836182,58.534427642822,59.985054016113,223.90313720703,223.43704223633,222.30895996094,20.247941970825,20.739824295044,82627006.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 08:15:00,59.9632,72.832679748535,71.548202514648,100.82238006592,223.90553283691,223.96688842773,221.94445800781,30.7961769104,31.593955993652003,82633662.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 08:30:00,59.9752,111.74973297119,72.950981140137,120.52571105957,223.15570068359,223.24456787109,221.43238830566,37.88952255249,39.25411605835,82642903.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 08:45:00,60.0088,92.871162414551,88.295837402344,131.45330810547,222.142578125,221.89245605469,220.0287322998,39.08825302124,39.930233001709,82652223.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 09:00:00,60.032,109.99236297607,86.512664794922,151.64599609375,221.09269714355,220.96025085449,219.1654510498,43.000507354736,44.292514801025,82662254.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 09:15:00,59.9699,103.30964660645,88.162879943848,145.74603271484,219.77265930176,219.57148742676,218.00770568848,41.571723937988,42.64892196655301,82672257.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 09:30:00,59.9913,112.03115844727,98.82447052002,147.0837097168,220.1439666748,219.56936645508,217.84161376953,44.047523498535,45.27929306030301,82682982.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 09:45:00,59.9484,109.43412017822,84.361808776855,136.99053955078,219.1535949707,218.87141418457,217.31846618652,40.852508544922,41.721302032471,82692845.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 10:00:00,59.9738,110.89173126221,72.375801086426,121.82930755615,219.18045043945,218.77867126465,217.2727355957,37.290538787842,38.495185852051,82703299.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 10:15:00,60.0296,117.76402282715,89.792999267578,149.75408935547,219.5274810791,219.31910705566,217.47027587891,43.95991516113301,45.130081176758,82713628.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 10:30:00,59.9925,98.196868896484,90.92700958252,154.8166809082,220.314453125,219.09358215332,217.4376373291,42.171085357666,43.423248291016,82724209.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 10:45:00,60.0033,145.58630371094,73.925399780273,150.36987304688,219.02336120605,219.00982666016,217.09854125977,44.586650848389,46.680461883545,82733757.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 11:00:00,59.9657,104.73612976074,69.938018798828,142.03288269043,218.5285949707,218.06604003906,216.19442749023,38.192405700684,39.779537200928,82743405.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
Tuesday,2021-11-16 11:15:00,59.9724,107.22721862793,71.288467407227,163.79986572266,220.21250915527,219.94805908203,218.03251647949,41.23517990112301,43.340663909912,82752970.0,84.88500206100576,23.83403681600636,81.37634978540774,24.349023963765518,74.22547961373391,25.482352307185074
