gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.9,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.1248097513155908,29.166666666666668,-7.4042955951496765,1.456101160325757,1.708143084648924,491.7176321744923,553.0887875636818,-12.48097513155907,0.18682815931584085
0.95,0.0001,0.2,0.01,0.95,0.5,0.5,10,256,256,1.2972570053534966,20.833333333333336,-8.048516984925747,1.3866951888454488,1.7139236720201634,491.7176321744923,637.884142994194,-29.72570053534966,0.19065163246438213
0.99,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,0.9784368174840999,37.5,-7.102943630811557,1.7057189706984561,1.7284368174840998,491.7176321744923,481.1146351256275,2.156318251590004,0.20025111058287276
0.99,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,0.9846262177909099,37.5,-6.843020201483947,1.6996817204460488,1.7346262177909098,491.7176321744923,484.1580723890721,1.5373782209090188,0.20434498623232727
0.99,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,0.9108012724923199,41.66666666666667,-6.856182765646845,2.1196578076990735,1.7441346058256535,491.7176321744923,447.85704509143807,8.919872750768011,0.21063415098358332
0.95,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,0.9290309067649688,41.66666666666667,-7.089569362608318,1.8735715931467827,1.7623642400983024,491.7176321744923,456.82087769139196,7.096909323503121,0.22269183866701642
0.9,0.0001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.1241690878946289,33.33333333333333,-6.529567290302451,1.5794183045418424,1.7908357545612954,491.7176321744923,552.7737620633056,-12.416908789462894,0.24152384725998058
0.99,0.0001,0.1,0.05,0.95,0.5,0.5,10,256,256,0.9709458593241521,41.66666666666667,-7.026418978684745,1.6357910254221932,1.8042791926574857,491.7176321744923,477.43119891649974,2.905414067584792,0.2504157852731657
0.9,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.9819602786267624,41.66666666666667,-7.427832230354994,1.7986030554402077,1.815293611960096,491.7176321744923,482.8471830957563,1.803972137323763,0.25770108929950664
0.9,0.0003,0.3,0.01,0.95,0.5,0.5,10,256,256,0.9025981031676176,45.83333333333333,-7.056082247550911,2.0005948541189844,1.819264769834284,491.7176321744923,443.823402094769,9.740189683238247,0.2603277454722204
0.99,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.0760333870649332,37.5,-7.3152151020850145,1.7686031836750349,1.8260333870649332,491.7176321744923,529.104589228268,-7.603338706493333,0.2648047344998237
0.9,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,0.9155860777107421,45.83333333333333,-6.790231727713308,2.0230650954560234,1.8322527443774086,491.7176321744923,450.2098181838568,8.44139222892579,0.2689184247112624
0.9,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,0.7679598568885825,54.166666666666664,-6.848738901389572,2.092377448671119,1.8512931902219156,491.7176321744923,377.61940243431576,23.204014311141748,0.2815124101918624
0.95,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,1.0225069163795255,41.66666666666667,-6.9180146074845315,1.7624117365703271,1.855840249712859,491.7176321744923,502.7846798041819,-2.25069163795256,0.2845199868881237
0.9,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,0.6062384077889459,62.5,-6.723945025798363,2.5490072324908772,1.856238407788946,491.7176321744923,298.09811441121474,39.37615922110541,0.28478334190985866
0.95,0.001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.7810162040383576,54.166666666666664,-6.187279972782698,2.3314139281300603,1.864349537371691,491.7176321744923,384.0394385396513,21.898379596164244,0.290148313351734
0.95,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.199274380800187,33.33333333333333,-6.950195171502392,1.639833142845391,1.8659410474668534,491.7176321744923,589.7043588545982,-19.927438080018682,0.2912009911721164
0.95,0.001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.1281421180035736,37.5,-8.06901843004711,1.6100957533372686,1.8781421180035736,491.7176321744923,554.7273710210338,-12.814211800357352,0.29927118587459806
0.9,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,0.8885064919459112,50.0,-7.267269918919105,2.183620012076413,1.8885064919459111,491.7176321744923,436.8943083913081,11.149350805408876,0.306126528234292
0.95,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,0.7256206989015596,58.333333333333336,-6.401351077829693,2.239167179752124,1.8922873655682264,491.7176321744923,356.8004919206751,27.437930109844043,0.30862732406083293
0.95,0.0003,0.2,0.01,0.95,0.5,0.5,10,256,256,0.7266777663649605,58.333333333333336,-6.557333104778022,2.234438670170883,1.8933444330316274,491.7176321744923,357.3202706308273,27.33222336350395,0.3093265037121291
0.99,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,0.9806207920655206,45.83333333333333,-7.321429156261383,1.9158849769990753,1.897287458732187,491.7176321744923,482.1885339355329,1.937920793447944,0.31193455232758777
0.95,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,1.0073532616166112,45.83333333333333,-7.703057923982551,1.7141386856557994,1.9240199282832777,491.7176321744923,495.3333605653719,-0.7353261616611142,0.3296162986551897
0.9,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,0.7667475305755114,58.333333333333336,-7.622668682244589,2.2614952883312918,1.9334141972421781,491.7176321744923,377.0232802102296,23.32524694244886,0.3358299812462081
0.99,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,1.1969330755970167,37.5,-7.1972792162756205,1.4516267352986507,1.9469330755970167,491.7176321744923,588.5530978038976,-19.693307559701662,0.3447718179608117
0.95,0.0001,0.1,0.01,0.95,0.5,0.5,10,256,256,0.7898541994276794,58.333333333333336,-7.081732589954655,2.362294732240357,1.9565208660943463,491.7176321744923,388.38523670565775,21.014580057232056,0.35111350214722675
0.99,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,1.1233069149789419,41.66666666666667,-7.111308476721318,1.8660552974267997,1.9566402483122753,491.7176321744923,552.349816438679,-12.330691497894184,0.3511924655250551
0.99,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.8812982305751341,54.166666666666664,-7.255517760988401,2.194055745744538,1.9646315639084673,491.7176321744923,433.3498791779747,11.870176942486587,0.35647818800294384
0.9,0.0001,0.2,0.01,0.95,0.5,0.5,10,256,256,0.9684477851546486,50.0,-6.588200117539221,1.7107621598207727,1.9684477851546487,491.7176321744923,476.20285180087524,3.1552214845351374,0.3590023639260108
0.99,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,0.6370810415784447,66.66666666666666,-7.276495968730683,2.425609879043467,1.9704143749117777,491.7176321744923,313.2639812682121,36.29189584215553,0.3603031319358484
0.9,0.0001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.0557454473764074,45.83333333333333,-6.918903644952094,1.9272248033169574,1.972412114043074,491.7176321744923,519.1286515629271,-5.574544737640736,0.36162450317993766
0.95,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.9791028244971253,50.0,-6.917702865366358,1.8915630994275587,1.9791028244971254,491.7176321744923,481.44212251708393,2.089717550287469,0.3660499620689443
0.9,0.001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.0657904959068982,45.83333333333333,-6.819128174873798,1.7475176462879722,1.9824571625735647,491.7176321744923,524.0679790414179,-6.579049590689813,0.36826863306943913
0.9,0.0003,0.1,0.01,0.95,0.5,0.5,10,256,256,1.0785880777143078,45.83333333333333,-6.621911777147945,1.871909338758921,1.9952547443809743,491.7176321744923,530.3607756653166,-7.858807771430765,0.37673338020747965
0.9,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.9496673611590442,54.166666666666664,-7.423819542257428,1.8933745010039338,2.0330006944923773,491.7176321744923,466.9681861825236,5.033263884095583,0.40169980964597934
0.9,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.0452281113686916,50.0,-6.719668871986504,1.7411487045040974,2.045228111368692,491.7176321744923,513.9570920044296,-4.522811136869164,0.40978743069556595
0.99,0.001,0.1,0.0,0.95,0.5,0.5,10,256,256,0.7359008636569904,66.66666666666666,-6.999875729883745,2.36752141026289,2.0692341969903234,491.7176321744923,361.8554301925792,26.409913634300956,0.4256658558245703
0.95,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,0.5215419503313445,79.16666666666666,-7.289642609050922,2.773280269090726,2.1048752836646774,491.7176321744923,256.4513728965954,47.84580496686554,0.4492400584328096
0.95,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.2024781625317047,45.83333333333333,-7.051914037713972,1.7242070085287489,2.119144829198371,491.7176321744923,591.2797148216241,-20.24781625317047,0.4586784114384954
0.95,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,0.5435471953984263,79.16666666666666,-6.736282964199991,2.777150698701213,2.1268805287317596,491.7176321744923,267.2717398964003,45.645280460157366,0.46379506093301776
0.9,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,0.5628853156903234,79.16666666666666,-6.437283932963403,2.5876300848509417,2.1462186490236563,491.7176321744923,276.78063461703744,43.711468430967656,0.4765859382143133
0.95,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,1.2397664863429556,45.83333333333333,-7.870616981367171,1.8418965492736912,2.156433153009622,491.7176321744923,609.6150411138482,-23.976648634295568,0.483342151589847
0.95,0.0003,0.1,0.01,0.95,0.5,0.5,10,256,256,1.1642333271141005,50.0,-7.404585628082255,1.8492393516064105,2.1642333271141005,491.7176321744923,572.4740549071767,-16.42333271141006,0.48850144671456136
0.9,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,0.8479834089959283,66.66666666666666,-6.93209532302904,2.202571879645056,2.1813167423292614,491.7176321744923,416.9683939947319,15.201659100407172,0.4998009869110355
0.99,0.001,0.2,0.01,0.95,0.5,0.5,10,256,256,0.6440599564083282,79.16666666666666,-7.307361011760148,2.7463840514512476,2.227393289741661,491.7176321744923,316.6956367435099,35.59400435916717,0.530277551054902
0.9,0.001,0.2,0.01,0.95,0.5,0.5,10,256,256,1.5010551072964267,37.5,-9.079158341317516,1.3104713324767225,2.251055107296427,491.7176321744923,738.0952631232274,-50.10551072964267,0.5459282658103706
0.99,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.104125661094994,58.333333333333336,-7.874768809670082,2.342505472632338,2.2707923277616606,491.7176321744923,542.9180556967265,-10.412566109499418,0.5589831212479214
0.99,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,0.4679582773806704,91.66666666666666,-7.39818554027908,3.09418844910736,2.3012916107140033,491.7176321744923,230.10333611007752,53.20417226193296,0.57915636350324
0.95,0.0001,0.1,0.05,0.95,0.5,0.5,10,256,256,0.7134967564252477,83.33333333333334,-6.968803045322512,2.5303438316164586,2.380163423091915,491.7176321744923,350.8389356336032,28.650324357475238,0.6313248089287226
0.99,0.0003,0.1,0.01,0.95,0.5,0.5,10,256,256,0.6346224546632038,87.5,-7.7661946972960605,2.9336344682293736,2.3846224546632038,491.7176321744923,312.05505073175465,36.537754533679625,0.6342741610250417
0.95,0.001,0.3,0.01,0.95,0.5,0.5,10,256,256,1.2193913023243002,58.333333333333336,-9.455140144214818,1.7829715882379955,2.3860579689909667,491.7176321744923,599.5962038730753,-21.939130232430006,0.6352236580456829
0.95,0.001,0.2,0.01,0.95,0.5,0.5,10,256,256,0.5896380597550572,91.66666666666666,-7.7658212252370635,3.005557281738591,2.4229713930883903,491.7176321744923,289.93543058271854,41.03619402449428,0.6596394270312761
0.99,0.001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.6280860567284473,91.66666666666666,-7.458534839396693,3.1366210688758986,2.4614193900617805,491.7176321744923,308.84098861632594,37.19139432715527,0.6850702136628148
0.99,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.4682304979085847,50.0,-8.837667292306284,1.39205590786247,2.4682304979085847,491.7176321744923,721.9548239179851,-46.82304979085847,0.689575307400113
0.9,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.3726850017337988,62.5,-9.163201926925845,1.697361997488316,2.6226850017337986,491.7176321744923,674.9734187739824,-37.268500173379884,0.7917366640444576
0.99,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.5848819224166384,62.5,-10.671326814977881,1.4711960716817396,2.8348819224166384,491.7176321744923,779.3143861668668,-58.48819224166384,0.9320907796955186
0.95,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.1875517113839176,87.5,-8.91287810689297,1.929406037277778,2.9375517113839176,491.7176321744923,583.940115606466,-18.75517113839175,1.0
