gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.99,0.0003,0.1,0.05,0.95,0.5,0.5,10,256,256,1.1100577668683609,25.0,-6.905370786881656,1.5851697911350997,1.6100577668683609,435.6486068963994,483.5951197107295,-11.005776686836086,0.1783026702585403
0.9,0.0001,0.3,0.01,0.95,0.5,0.5,10,256,256,0.9449054419414664,33.33333333333333,-7.276036333614859,1.6874236519467347,1.611572108608133,435.6486068963994,411.64673943062644,5.509455805853354,0.17976293988668982
0.9,0.0001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.0353385640323012,29.166666666666668,-6.754998651483186,1.633226977689129,1.6186718973656347,435.6486068963994,451.0438030867906,-3.533856403230122,0.18660921877907366
0.99,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.209994923395814,20.833333333333336,-6.885888714064501,1.294994508150845,1.6266615900624808,435.6486068963994,527.1326027291019,-20.999492339581412,0.19431362609813013
0.95,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.299153959082097,16.666666666666664,-6.86641068254622,1.4104710256694868,1.6324872924154303,435.6486068963994,565.9746124180574,-29.915395908209703,0.199931311977892
0.9,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,1.1482180877421413,25.0,-7.0660235415309725,1.4124918759673346,1.6482180877421413,435.6486068963994,500.21961033811147,-14.821808774214118,0.21510041287429224
0.9,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,0.9118347667585887,37.5,-6.6590964991437005,1.8741805671326193,1.6618347667585887,435.6486068963994,397.2395458580824,8.816523324141132,0.22823088552901294
0.9,0.001,0.2,0.01,0.95,0.5,0.5,10,256,256,0.8323216249942654,41.66666666666667,-6.643315986257825,1.8887782258065837,1.665654958327599,435.6486068963994,362.59975641849906,16.767837500573464,0.23191467075095262
0.9,0.0003,0.1,0.0,0.95,0.5,0.5,10,256,256,1.1759319521781197,25.0,-7.198641123014025,1.4928812159378402,1.6759319521781197,435.6486068963994,512.2931167713612,-17.593195217811967,0.24182470729980576
0.95,0.0001,0.1,0.0,0.95,0.5,0.5,10,256,256,1.176156856571166,25.0,-6.5258257425055675,1.3265745673278502,1.676156856571166,435.6486068963994,512.3910960568767,-17.6156856571166,0.24204158110429608
0.99,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.0977507385240615,29.166666666666668,-7.9649823241802284,1.6031563995293596,1.681084071857395,435.6486068963994,478.233579957501,-9.775073852406154,0.24679286190496744
0.99,0.0001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.018956923564703,33.33333333333333,-6.667162607201261,1.9142226573617673,1.6856235902313694,435.6486068963994,443.9071642384037,-1.8956923564702886,0.25117028916186884
0.9,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.2759677801762692,20.833333333333336,-6.692741460677207,1.3435896977009658,1.692634446842936,435.6486068963994,555.8735858784828,-27.596778017626917,0.25793081137974216
0.95,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.1101852130898504,29.166666666666668,-7.285887696826693,1.4950748731599033,1.6935185464231837,435.6486068963994,483.6506414795756,-11.018521308985038,0.2587833427016945
0.95,0.0001,0.2,0.0,0.95,0.5,0.5,10,256,256,0.9558820838552319,37.5,-6.84712870316217,1.6862954214173456,1.705882083855232,435.6486068963994,416.428698188759,4.411791614476812,0.2707054192940148
0.9,0.0003,0.3,0.0,0.95,0.5,0.5,10,256,256,0.8740316757828311,41.66666666666667,-6.587024087205687,1.9453934184078996,1.7073650091161645,435.6486068963994,380.7706819381158,12.596832421716886,0.2721353942213925
0.95,0.0001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.2099360842430409,25.0,-8.199343332085839,1.4120162606595674,1.7099360842430409,435.6486068963994,527.1069695341653,-20.99360842430409,0.2746146647987414
0.9,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,0.7305544839455042,50.0,-6.181671760353434,2.4416735922298445,1.7305544839455043,435.6486068963994,318.26504319277683,26.94455160544959,0.2944968499593292
0.95,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,0.8167794947302763,45.83333333333333,-6.511951038806357,2.0738373309387588,1.7334461613969427,435.6486068963994,355.82884902078985,18.32205052697237,0.2972852752175381
0.9,0.0001,0.1,0.05,0.95,0.5,0.5,10,256,256,1.234246003484137,25.0,-7.113823556726932,1.5042119234728086,1.734246003484137,435.6486068963994,537.6975519853128,-23.4246003484137,0.2980565576015403
