gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.99,0.0001,0.998,0.005,64,50000,200,1,256,0.873288680052255,24.375,1.6566601550901954,1.360788680052255,510.1821360349653,435.6195140671729,12.671131994774502,-27.327228015275573,-21.32334714420933,0.10844951202517171,0.1794153698257829
0.99,0.0003,0.995,0.01,64,50000,200,1,256,0.7163843259305371,32.5,1.8581389345755253,1.3663843259305373,510.1821360349653,351.7836100769043,28.36156740694629,-25.676799540532926,-18.265560100145734,0.05107099461750909,0.18624272468053493
0.9,0.0001,0.995,0.005,64,50000,200,1,256,0.664677182584939,35.208333333333336,1.963952508562976,1.3688438492516055,510.1821360349653,332.2320694994927,33.532281741506104,-25.766704148997388,-21.41996359552744,0.10600220305113527,0.18924363625566593
0.9,0.0003,0.99,0.01,64,50000,200,1,256,0.8046450216136432,28.333333333333336,1.7411198304645907,1.3713116882803098,510.1821360349653,399.13236989974956,19.535497838635685,-24.021160006294046,-16.121846226324596,0.08045253873178099,0.19225469398517028
0.99,0.0003,0.998,0.01,64,50000,200,1,256,1.0595347245538158,15.625,1.2336152530636317,1.3720347245538158,510.1821360349653,538.2558360624312,-5.953472455381588,-27.157393551283718,-24.422714763776725,0.2710951268176075,0.19313688440955762
0.95,0.0001,0.99,0.02,64,50000,200,1,256,0.801569712296559,28.541666666666668,1.7834303168731798,1.3724030456298923,510.1821360349653,395.50496479749665,19.8430287703441,-24.835705792354155,-18.36621432234123,0.07396342208970359,0.19358628001849323
0.9,0.001,0.998,0.01,64,50000,200,1,256,0.9398676791571369,21.666666666666668,1.4788712129465587,1.3732010124904703,510.1821360349653,467.4274402379988,6.0132320842863125,-27.20992230614097,-15.244754414135366,0.19847425378518477,0.1945598946892577
0.99,0.0001,0.99,0.02,64,50000,200,1,256,0.7010433039419481,33.75,1.7343893801413148,1.376043303941948,510.1821360349653,347.42451083660114,29.8956696058052,-25.663382946313448,-15.394994436540841,0.10244273221935665,0.19802782900139526
0.95,0.0003,0.99,0.02,64,50000,200,1,256,0.7472110714392268,31.666666666666668,1.7798643853300153,1.3805444047725601,510.1821360349653,371.2709570741654,25.278892856077324,-24.933802791657417,-15.850680250742718,0.12189289292480085,0.20351970845125106
0.95,0.001,0.99,0.02,64,50000,200,1,256,1.032199851832036,17.708333333333332,1.4044042966026715,1.3863665184987028,510.1821360349653,513.5366431713104,-3.2199851832036215,-23.94953138327896,-16.562022151145896,0.06511590905548319,0.21062338107059514
0.9,0.0001,0.99,0.02,64,50000,200,1,256,1.1261963107779125,13.125,0.990579143405397,1.3886963107779127,510.1821360349653,569.5350540614127,-12.61963107779125,-24.63387796359189,-19.816603869792733,0.16396969474874437,0.2134660053134484
0.95,0.001,0.99,0.01,64,50000,200,1,256,0.589064433225379,40.0,1.9890922740814792,1.389064433225379,510.1821360349653,292.1161266756057,41.0935566774621,-24.20652737423907,-15.10603286412334,0.19316849508892134,0.21391515857180718
0.95,0.0001,0.995,0.01,64,50000,200,1,256,1.0031795165008308,19.375,1.3973343053605156,1.3906795165008305,510.1821360349653,502.4398731517791,-0.3179516500830594,-26.608441641378043,-22.67772056583747,0.14785786734048303,0.2158857526518007
0.9,0.001,0.998,0.005,64,50000,200,1,256,0.9950475227331609,19.791666666666664,1.4738596308057896,1.390880856066494,510.1821360349653,490.72750154495236,0.49524772668391465,-26.76781228399397,-15.529388673123355,0.14959587863736806,0.2161314109173499
0.9,0.0003,0.99,0.005,64,50000,200,1,256,0.7880874338361712,30.208333333333332,1.6565690866656446,1.392254100502838,510.1821360349653,388.56947649002075,21.19125661638289,-24.38194759101521,-15.236447974515466,0.07167714415106657,0.2178069327915311
0.95,0.0003,0.995,0.005,64,50000,200,1,256,1.1646563568475412,11.458333333333334,1.1158564989880804,1.393823023514208,510.1821360349653,586.7361982464788,-16.465635684754112,-26.127995545556097,-19.39022076307769,0.14583463509731823,0.21972120584801294
0.95,0.0001,0.998,0.01,64,50000,200,1,256,0.7986204832202515,29.791666666666664,1.7551939026570793,1.3944538165535847,510.1821360349653,395.0042162227629,20.13795167797486,-27.285900408583565,-16.52399999075625,0.0795080077465754,0.22049084853331
