gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.99,0.001,0.995,0.02,64,50000,200,1,256,1.0254493739395891,35.41666666666667,1.9416400268718146,1.7337827072729222,516.0853303909302,516.8416261219978,-2.5449373939588957,-28.423700246556383,-25.68069770566069,0.6138503356498614,0.23152898998501856
0.9,0.0001,0.998,0.01,64,50000,200,1,256,0.7353950406650334,50.208333333333336,2.4717339713937685,1.7395617073317002,516.0853303909302,355.3170671820638,26.460495933496656,-28.59665690173067,-17.88347236486203,0.41891093997615597,0.23967186609194052
0.9,0.0001,0.995,0.01,64,50000,200,1,256,0.7117857047373977,51.45833333333335,2.3734257441029447,1.7409523714040644,516.0853303909302,355.5114664602278,28.82142952626024,-27.57747530286688,-23.754791264662412,0.44822793310719283,0.24163137554555417
0.95,0.0001,0.99,0.01,64,50000,200,1,256,0.8551649166666682,44.375,2.3049547744971486,1.742664916666668,516.0853303909302,416.3230010557172,14.483508333333196,-26.0393386408764,-18.43308436971613,0.4615287695817118,0.24404443035763954
0.9,0.001,0.99,0.005,64,50000,200,1,256,1.0504350362565962,35.0,1.9564423239381674,1.7504350362565966,516.0853303909302,507.7489299297331,-5.0435036256596275,-25.25163546489324,-17.51886232240249,0.4704101530641013,0.25499288519640534
0.95,0.0003,0.99,0.02,64,50000,200,1,256,0.8824548946038453,44.16666666666667,2.2921471844704757,1.7657882279371784,516.0853303909302,430.25840178489653,11.754510539615481,-26.408292005694967,-18.97587476305685,0.4431270130561139,0.27662623636948647
0.95,0.001,0.995,0.01,64,50000,200,1,256,0.87201782542074,44.791666666666664,2.246945000584294,1.7678511587540733,516.0853303909302,427.7339823842046,12.798217457925997,-26.93307446722095,-18.761845444534725,0.46176098014501865,0.27953300049619917
0.9,0.0001,0.99,0.01,64,50000,200,1,256,1.261684059736662,25.416666666666664,1.4423294111407376,1.770017393069995,516.0853303909302,644.8480390071869,-26.16840597366619,-26.69302617892951,-26.93787120251171,0.7078273133172784,0.282585323990524
0.95,0.0003,0.998,0.02,64,50000,200,1,256,0.8898737998257031,44.16666666666667,2.2575792544607802,1.7732071331590362,516.0853303909302,433.9469333219525,11.012620017429697,-28.450296448967755,-19.087577406666803,0.43883630628127146,0.28707981405700056
0.99,0.0003,0.99,0.005,64,50000,200,1,256,1.0348169992229024,37.08333333333333,2.0018300469462593,1.7764836658895693,516.0853303909302,506.8665929484365,-3.4816999222902494,-25.793597784968984,-18.726411670527035,0.48142091041727847,0.291696598935637
0.9,0.001,0.998,0.005,64,50000,200,1,256,1.1215966219405424,32.91666666666667,1.7623500689358664,1.7799299552738759,516.0853303909302,542.313105485439,-12.159662194054235,-27.930309582924405,-18.609022952314987,0.4731605989385775,0.29655257872445573
0.9,0.0001,0.99,0.02,64,50000,200,1,256,1.0053500339466332,38.958333333333336,2.003975909931426,1.7845167006133,516.0853303909302,498.4743531727789,-0.5350033946633218,-26.394575415273323,-20.492088390988187,0.5562181501277759,0.3030155132551797
0.9,0.0003,0.998,0.005,64,50000,200,1,256,1.0572989450390953,36.458333333333336,1.9843551468087566,1.786465611705762,516.0853303909302,517.8548941779134,-5.7298945039095255,-28.376760648474487,-18.6965160150848,0.47797038468997227,0.3057616183612384
0.9,0.0003,0.995,0.005,64,50000,200,1,256,0.9751944805300073,40.625,2.187760748645266,1.787694480530007,516.0853303909302,478.33946531534167,2.4805519469992676,-27.003214585558435,-18.993675861874078,0.4484305150280886,0.30749315089034546
0.95,0.001,0.99,0.02,64,50000,200,1,256,1.0182026336820242,38.541666666666664,2.055945492849133,1.7890359670153573,516.0853303909302,494.0910680747029,-1.8202633682024136,-26.019929533107273,-18.85641878797961,0.4567125081460118,0.3093833668685794
0.99,0.0001,0.99,0.01,64,50000,200,1,256,1.282297182750635,25.625,1.434637849043762,1.794797182750635,516.0853303909302,657.9539485168458,-28.22971827506351,-27.138936929810324,-27.89571020450568,0.7280902797147992,0.317501184048103
0.99,0.0003,0.998,0.005,64,50000,200,1,256,0.9703202255537811,41.24999999999999,2.1537830755964698,1.795320225553781,516.0853303909302,482.5000860381127,2.967977444621888,-28.312171485789214,-19.881891757811054,0.47718131802824987,0.3182381753444027
0.9,0.0003,0.99,0.02,64,50000,200,1,256,1.2168559159922385,29.166666666666668,1.6067457125023878,1.8001892493255718,516.0853303909302,594.84683409214,-21.685591599223844,-25.120263777712967,-18.238687162872687,0.4932080709595356,0.32509885313157916
0.99,0.0001,0.995,0.02,64,50000,200,1,256,1.1839246168272772,30.833333333333336,1.6304782150762236,1.8005912834939442,516.0853303909302,605.8133472800253,-18.392461682727742,-28.305673621596554,-27.527837486905298,0.7256627736334823,0.32566533771204437
0.95,0.001,0.99,0.01,64,50000,200,1,256,1.119257259600476,34.375,1.8257609089726894,1.806757259600476,516.0853303909302,543.6693481588361,-11.925725960047592,-26.175600536788988,-18.85407717086995,0.4657985857987088,0.33435348081691674
0.99,0.0003,0.998,0.01,64,50000,200,1,256,1.3079250525726844,25.0,1.509789905696361,1.8079250525726844,516.0853303909302,647.5217418575285,-30.79250525726847,-28.826009663660756,-21.022094581187538,0.5557743613341289,0.33599895466957463
0.9,0.0003,0.998,0.01,64,50000,200,1,256,0.8693789200669093,47.083333333333336,2.3031149185464903,1.811045586733576,516.0853303909302,426.0443799471852,13.062107993309073,-28.445751952136533,-20.177164625966252,0.42319426589032866,0.3403959304095144
0.99,0.0001,0.998,0.02,64,50000,200,1,256,1.3,25.625,1.4002233534236193,1.8125,516.0853303909302,670.9109295082093,-30.0,-28.658984524816834,-28.27584696616813,0.7625796861822228,0.3424452654010871
