gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.9,0.0003,0.995,0.01,64,50000,200,1,256,1.2009878420289326,21.25,1.4757894052057468,1.6259878420289327,511.54481630325336,592.5544453620914,-20.09878420289326,-27.33170976013613,-21.86616866640938,0.5664350788350407,0.21613654271631988
0.9,0.0001,0.99,0.005,64,50000,200,1,256,0.9203464986377039,35.41666666666667,1.9694726367618636,1.6286798319710374,511.54481630325336,436.3177996468547,7.9653501362296,-26.13558058186198,-16.858416948673888,0.49602196972777957,0.2193064686098459
0.9,0.0001,0.995,0.005,64,50000,200,1,256,0.6252079307687242,50.833333333333336,2.4517710141175,1.6418745974353908,511.54481630325336,304.1251630592348,37.47920692312759,-27.516436041718435,-22.942908922516636,0.4521308380629584,0.23484383301461573
0.95,0.0001,0.998,0.02,64,50000,200,1,256,0.8385644064416169,40.83333333333333,2.0879364526249695,1.6552310731082833,511.54481630325336,401.8596928691867,16.143559355838313,-28.613129632566107,-17.3102701100345,0.46758832456337235,0.2505716176617788
0.95,0.0003,0.995,0.01,64,50000,200,1,256,0.6070907900444068,52.5,2.5054682609721772,1.6570907900444065,511.54481630325336,295.6160776472093,39.290920995559325,-26.969731657655736,-22.725290388414006,0.4288727546456424,0.2527615087821879
0.9,0.001,0.99,0.01,64,50000,200,1,256,0.8416644287559174,41.04166666666667,2.0568770641854717,1.6624977620892505,511.54481630325336,397.4117825841906,15.83355712440827,-25.30992451927474,-16.360082937908366,0.46188552484185524,0.2591284347585612
0.95,0.001,0.998,0.01,64,50000,200,1,256,0.8830044293441922,39.375,2.0707253125912333,1.6705044293441922,511.54481630325336,426.4833385372165,11.69955706558078,-28.77857235710627,-24.03719977828481,0.4906378398076958,0.26855660588777525
0.9,0.0001,0.995,0.01,64,50000,200,1,256,0.5875186944613083,54.375,2.545588972398375,1.6750186944613084,511.54481630325336,289.5990227961542,41.248130553869174,-27.622270959809356,-21.758122905329408,0.45825836834305267,0.2738723337295366
0.9,0.001,0.99,0.02,64,50000,200,1,256,0.8833134131560895,39.79166666666667,2.0251400266096247,1.679146746489423,511.54481630325336,419.60011676311524,11.668658684391037,-25.226873990204318,-16.70122822279479,0.4521497372019046,0.2787332802022831
0.9,0.0001,0.998,0.02,64,50000,200,1,256,0.8832564823373229,40.416666666666664,1.9784189323000068,1.6915898156706561,511.54481630325336,427.4896061563495,11.674351766267714,-28.84605368766023,-20.19125769042909,0.4990797052908593,0.2933854921498833
0.95,0.001,0.99,0.005,64,50000,200,1,256,1.0058929088291015,34.375,1.9189821937698064,1.6933929088291015,511.54481630325336,479.29642325401335,-0.5892908829101644,-24.870169445016614,-17.481298380870758,0.45403664664852394,0.29550870650592465
0.9,0.0001,0.998,0.005,64,50000,200,1,256,0.9440241164124752,37.708333333333336,1.9713232809160097,1.6981907830791418,511.54481630325336,448.66609646081963,5.597588358752482,-28.854837499507102,-16.95004093751137,0.44333057722197017,0.30115839545208517
0.9,0.001,0.995,0.005,64,50000,200,1,256,1.0126500846697195,35.0,1.9094049062727556,1.7126500846697195,511.54481630325336,482.4823179054264,-1.2650084669719408,-26.21817291473992,-17.409784101222968,0.4230665877345417,0.31818480175375125
0.9,0.0003,0.99,0.005,64,50000,200,1,256,0.9336510458898116,38.95833333333333,1.9924135272157337,1.7128177125564783,511.54481630325336,445.7834318971638,6.634895411018832,-25.675065769960156,-17.68897947056155,0.4368484258500896,0.3183821902990808
0.95,0.0003,0.99,0.005,64,50000,200,1,256,1.1852967136359214,26.458333333333332,1.454123095927205,1.714463380302588,511.54481630325336,582.1884185838701,-18.529671363592136,-25.015781106974533,-19.718078807098852,0.589049521684332,0.32032002993174113
0.9,0.0003,0.998,0.01,64,50000,200,1,256,0.840334960574868,43.95833333333333,2.126303893760208,1.7195016272415349,511.54481630325336,404.7014626145366,15.966503942513196,-28.736685738142153,-19.327077862897365,0.45915287899690604,0.32625276733909536
0.95,0.001,0.99,0.02,64,50000,200,1,256,0.7779703645998093,47.08333333333333,2.251779035390398,1.7196370312664757,511.54481630325336,368.93229985237133,22.202963540019077,-26.300758201721273,-17.798596904141704,0.42829009620611636,0.32641221099749623
0.95,0.001,0.995,0.02,64,50000,200,1,256,0.83540417977508,44.58333333333333,2.152429758379795,1.7270708464417464,511.54481630325336,399.4654151368144,16.45958202249201,-27.367013966846997,-18.865737301329027,0.45110161141605937,0.33516582587666366
0.9,0.0003,0.99,0.01,64,50000,200,1,256,0.9778275892646369,37.70833333333333,1.981389490482547,1.7319942559313035,511.54481630325336,472.09061178684277,2.2172410735363233,-25.17106090894557,-17.984802360772726,0.43683744835814475,0.3409633375914276
