gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.95,0.001,0.99,0.01,64,50000,200,1,256,0.8058542658127257,46.25,2.315813658787345,1.730854265812726,556.9643049478531,425.50263174295424,19.41457341872744,-25.569640143351826,-18.29746119581673,0.4538810163565532,0.2205646243029407
0.9,0.0003,0.99,0.02,64,50000,200,1,256,0.7609422403001123,48.54166666666667,2.362179269009531,1.731775573633446,556.9643049478531,406.32941064596173,23.905775969988778,-24.826003300076216,-18.29634758389484,0.4582487988730221,0.22183973803001597
0.95,0.0003,0.99,0.02,64,50000,200,1,256,0.7822259504267656,47.70833333333333,2.3560832491109607,1.736392617093432,556.9643049478531,419.9813541960717,21.77740495732344,-27.119087266893366,-18.889248979783105,0.45943267595503756,0.2282298449648848
0.95,0.0003,0.995,0.005,64,50000,200,1,256,0.8808431876126812,42.916666666666664,2.2173462098969856,1.7391765209460146,556.9643049478531,471.88844472646707,11.915681238731889,-27.58439636526395,-18.84934573183119,0.48410554811431666,0.23208283952050657
0.95,0.0003,0.998,0.005,64,50000,200,1,256,0.8276241538865527,45.625,2.2764278976076135,1.7401241538865526,556.9643049478531,436.70844288587557,17.237584611344726,-28.517953537039915,-18.00892414593687,0.45572224496166364,0.23339438789069678
0.95,0.0003,0.998,0.02,64,50000,200,1,256,0.9045853319475545,41.875,2.1812077333683964,1.7420853319475547,556.9643049478531,485.12937831163407,9.54146680524453,-28.977273407714,-18.293242649605364,0.4719740967232829,0.2361087087838684
0.9,0.001,0.99,0.005,64,50000,200,1,256,0.6678932925062998,53.75,2.545175887147167,1.7428932925062999,556.9643049478531,357.44035761356355,33.21067074937002,-25.36161658584707,-19.253524538492808,0.43906272317263473,0.23722694698419794
0.9,0.0003,0.998,0.01,64,50000,200,1,256,0.6949534980583623,52.499999999999986,2.4994340841007174,1.744953498058362,556.9643049478531,372.39853629589095,30.504650194163776,-28.677651567948438,-18.955669816345726,0.4398193057907427,0.24007832447275368
0.9,0.001,0.99,0.01,64,50000,200,1,256,0.755644641616201,49.791666666666664,2.394267015746812,1.7514779749495344,556.9643049478531,401.73160130500816,24.435535838379902,-25.43175315784719,-19.42703347265161,0.44551291693957473,0.2491083683503993
0.95,0.001,0.99,0.02,64,50000,200,1,256,0.7433388292672353,50.416666666666664,2.385840927201456,1.7516721626005682,556.9643049478531,395.3585231685639,25.666117073276478,-25.17884031228522,-19.359688240496375,0.45759677785421965,0.249377129055446
