gamma,alpha,tau,lr,energy_ratio,viol_pct,reward_mean,raw_cost,score_0_1
0.9,0.2,0.01,0.0003,1.1256465828623254,0.8611111111111112,-105.15907938016112,2.8478688050845475,0.7588792931197753
0.9,0.2,0.01,0.0001,1.5676577419123083,0.6527777777777778,-67.53857576037585,2.873213297467864,0.7704278543579732
0.9,0.2,0.02,0.0001,1.2037345198043625,0.8472222222222222,-109.13202534945658,2.8981789642488067,0.7818037985793678
0.9,0.05,0.005,0.0001,1.5999883470698755,0.6805555555555555,-79.79796185532463,2.9610994581809864,0.8104743738792609
0.95,0.2,0.01,0.0001,1.5198565253836431,0.7222222222222222,-73.06935549446308,2.9643009698280878,0.811933186024802
0.9,0.1,0.02,0.001,1.5093142839486386,0.75,-102.16935512002453,3.0093142839486386,0.8324441122960111
0.99,0.05,0.005,0.0001,1.6000000000000003,0.7361111111111112,-90.03112431486001,3.072222222222223,0.8611089664400026
0.95,0.1,0.005,0.0003,1.5999693611196104,0.7638888888888888,-92.07919527293717,3.127747138897388,0.8864096467918053
0.99,0.2,0.005,0.001,1.596821460777041,0.7777777777777778,-93.71066595464269,3.1523770163325966,0.8976325840496474
0.9,0.05,0.01,0.001,1.5984724525153478,0.8611111111111112,-95.65607999770323,3.3206946747375703,0.9743288049153491
0.9,0.05,0.02,0.0003,1.5969737507319908,0.8888888888888888,-102.29243052312403,3.3747515285097682,0.9989605425209319
0.9,0.05,0.01,0.0003,1.5992549459057999,0.8888888888888888,-90.41119577472695,3.3770327236835778,1.0
